@relation camel_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {buggy,clean}

@data
2,0.007813,0.007813,0,7,643,11,5,11,19,5,23,30,0.4,66,66,128,24.756048,buggy
7,0.005,0.00375,1,6,111,7,3,9,2,1,5,12,0.833333,876,645,800,18.066564,buggy
5,0.033784,0,0,5,547,9,6,10,5,2,287,282,0.170213,309,273,148,29.023006,buggy
2,0.005464,0.005464,0,2,13,2,1,13,13,4,11,18,0.277778,34,34,183,1.584963,buggy
4,0.003413,0.003413,0,2,3,2,1,2,3,3,15,22,0.409091,18,18,586,0,buggy
16,0.108844,0,0,1,403,2,2,21,403,7,1736,7872,0.132495,145,57.666668,147,0,clean
5,0.083333,0,0,5,436,5,3,10,123,2,337,351,0.150997,103,55,60,0,buggy
58,0.074627,0.098507,24,1,0,1,1,12,0,2,2,296,0.003378,1121,814,335,0,buggy
2,0.00625,0.00625,0,4,639,7,4,21,24,7,1736,7872,0.132495,145,57.666668,160,0,clean
2,0.034483,0.034483,0,1,30,2,2,14,30,1,1,7,0.428571,820,513,29,0,clean
1,0,0.005128,0,1,0,1,1,19,0,1,125,288,0.288194,71,53.5,195,0,buggy
4,0.042553,0.042553,1,1,0,1,1,10,0,7,817,2007,0.159442,43,43,47,0,buggy
4,0.013889,0.013889,1,2,188,3,3,16,188,1,79,133,0.338346,35,26,144,12.004864,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,80,-0,buggy
103,0.065554,0.057211,16,31,25,36,3,9,0,1,2,3,1,969,738,839,574.291141,buggy
4,0.005731,0.005731,1,0,9,2,2,22,9,1,2,3,1,1,1,349,15.842694,clean
2,0.000611,0.000611,0,1,0,3,1,17,0,5,36,59,0.694915,3,3,1638,1.421464,buggy
1,0.026316,0,0,1,0,1,1,10,0,1,5,28,0.107143,1,1,38,21.128347,buggy
2,0.030303,0.030303,0,1,160,2,2,8,160,2,7,11,0.454545,647,416,33,34.175851,buggy
2,0.002681,0.002681,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,373,0,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,29,-0,buggy
38,0.213675,0.111111,4,3,3,4,1,12,0,3,295,304,0.013158,122,122,117,168.08596,buggy
2,0.005236,0.005236,0,1,0,1,1,23,0,1,1,2,1,93,93,191,122.571455,buggy
2,0.022222,0.022222,0,1,232,2,1,11,232,2,20,47,0.234043,704,704,45,0.904094,clean
