@relation cayenne_Line_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {clean,buggy}

@data
2,0.006536,0.006536,0,1,819,2,2,22,819,30,360,3113,0.11982,1,1,153,8.695129,clean
2,0.012987,0.012987,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,77,8.695129,clean
183,1.178572,1,0,2,14,4,2,17,5,6,16,30,0.3,484,340,84,3.630465,clean
5,0.096774,0.064516,1,1,0,1,1,12,0,4,8,33,0.121212,33,33,31,11.309265,buggy
2,0.005988,0.005988,0,2,850,4,4,22,788,30,360,3113,0.11982,1,1,167,8.695129,clean
2,0.011494,0.011494,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,87,8.695129,clean
5,0.037313,0,0,3,48,3,2,11,11,1,4,6,0.666667,63,63,134,2.337683,buggy
2,0.003846,0.003846,0,5,132,7,2,12,0,3,5,9,0.444444,220,220,260,3.865623,clean
18,0.057508,0,3,1,0,1,1,11,0,1,8,13,0.307692,7,7,313,1.300242,buggy
4,0.016667,0.016667,1,2,579,2,1,15,579,3,13,49,0.346939,504,360,120,10.671925,buggy
16,0.012085,0.036254,1,4,572,4,1,18,412,1,17,30,0.466667,443,299,331,4.617694,buggy
2,0.011905,0.011905,0,3,21,4,1,0,6,1,16,26,0.384615,8,8,84,6.536098,buggy
2,0.028571,0.028571,0,1,419,2,2,22,419,30,360,3113,0.11982,1,1,35,8.695129,clean
8,0.054054,0.054054,0,3,415,4,3,10,366,1,2,4,1,391,247,74,2.573638,buggy
2,0.004425,0.004425,0,11,866,18,3,22,103,30,360,3113,0.11982,1,1,226,8.695129,clean
70,0.095116,0.084833,13,1,0,1,1,15,0,1,4,18,0.444444,198,198,389,5.64682,buggy
6,0.011194,0.011194,1,3,18,3,2,10,0,3,19,31,0.354839,12,12,268,4.769563,buggy
11,0.055838,0,1,4,744,5,2,14,48,1,6,17,0.470588,529,225.5,197,1.413209,buggy
2,0.030303,0.030303,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,33,8.695129,clean
2,0.012195,0.012195,0,2,482,6,3,22,257,30,360,3113,0.11982,1,1,82,8.695129,clean
20,0.037807,0,0,2,817,4,2,11,586,1,2,2,1,9,5.5,529,3.055625,clean
84,0.160643,0.176707,8,2,57,3,2,15,57,1,4,18,0.444444,198,198,249,5.64682,buggy
2,0.005025,0.005025,0,3,253,6,2,15,0,2,8,11,0.454545,17,17,199,3.240268,clean
2,0.010204,0.010204,0,1,777,4,3,22,741,30,360,3113,0.11982,1,1,98,8.695129,clean
2,0.02439,0.02439,0,1,419,2,2,22,419,30,360,3113,0.11982,1,1,41,8.695129,clean
1,0.007874,0,0,18,776,23,1,14,1,1,6,17,0.470588,529,225.5,127,1.413209,buggy
23,0.104762,0.004762,3,1,0,1,1,10,0,1,3,5,0.4,560,256.5,210,3.540662,buggy
33,0.147783,0.014778,2,0,0,1,1,16,0,2,8,20,0.1,78,78,203,4.592853,clean
1,0.007463,0,0,4,80,6,3,20,0,1,9,9,0.111111,14,14,134,3.800358,buggy
2,0.009009,0.009009,0,1,0,1,1,17,0,1,18,96,0.197917,149,149,111,5.992779,buggy
2,0.017857,0.017857,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,56,8.695129,clean
1,0.001938,0,0,1,0,1,1,10,0,3,4,4,0.75,139,139,516,2.676056,buggy
1,0.001546,0,0,2,68,3,2,15,2,3,10,23,0.130435,356,212,647,4.587115,clean
2,0.016949,0.016949,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,59,8.695129,clean
2,0.028571,0.028571,0,1,0,1,1,12,0,1,1,4,0.5,86,86,35,4.174163,buggy
3,0.012987,0.006494,1,1,0,1,1,17,0,5,9,46,0.130435,57,57,154,4.859777,buggy
16,0.026667,0.026667,5,1,0,1,1,10,0,3,19,31,0.354839,12,12,300,4.769564,buggy
13,0.069767,0.031008,1,4,682,5,1,17,503,1,49,135,0.037037,507,363,129,10.671924,buggy
5,0.013652,0.003413,0,2,104,5,3,15,66,4,13,22,0.454545,197,197,293,5.268751,buggy
6,0.014851,0.014851,0,2,43,2,1,14,43,6,43,118,0.245763,102,102,202,12.315005,buggy
2,0.005618,0.005618,0,0,747,2,2,22,747,30,360,3113,0.11982,1,1,178,8.695129,clean
2,0.021277,0.021277,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,47,8.695129,clean
3,0.017241,0.008621,1,2,78,2,1,17,78,1,18,96,0.197917,149,149,116,5.992779,buggy
56,0.110879,0.006276,2,10,221,10,1,12,137,1,2,2,1,211,211,478,4.55021,buggy
6,0.006993,0.013986,0,1,0,1,1,14,0,6,43,118,0.245763,102,102,286,12.315005,buggy
2,0.013514,0.013514,0,0,0,1,1,22,0,30,360,3113,0.11982,1,1,74,8.695129,clean
