@relation cordova-android_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean}

@data
19,0.046154,0.002564,2,0,3,2,2,13,3,1,1,1,1,17,10.5,390,37.313834,clean
5,0,0.014085,0,0,116,4,2,13,0,1,1,1,1,3,3,355,0,clean
2,0.007042,0.007042,0,0,0,1,1,15,0,1,1,1,1,1,1,142,11.821958,clean
2,0.007042,0.007042,0,0,687,9,4,15,90,1,1,1,1,1,1,142,11.821958,clean
3,0.005566,0,0,0,333,4,3,11,0,1,1,1,1,14,7.5,539,0,clean
1,0.002123,0,0,0,0,1,1,12,0,1,1,1,1,1,1,471,0,clean
3,0.01083,0,1,0,306,4,4,14,56,1,2,4,0.25,1,1,277,0,clean
5,0.010899,0.002725,2,0,306,4,4,14,56,1,2,4,0.25,1,1,367,0,clean
2,0.007042,0.007042,0,0,223,5,2,10,0,1,1,1,1,9,9,142,11.821958,clean
2,0.007042,0.007042,0,0,246,6,2,10,22,1,1,1,1,13,13,142,11.821958,clean
4,0.040816,0.040816,1,0,0,1,1,16,0,1,1,1,1,1,1,49,0,clean
2,0.007042,0.007042,0,0,180,2,2,11,180,1,1,1,1,6,6,142,11.821958,clean
6,0.024896,0,1,0,0,1,1,6,0,1,1,2,0.5,1,1,241,1.415037,clean
3,0.008451,0,0,0,16,2,2,13,16,1,2,6,0.5,2,2,355,27.417024,clean
58,0.028011,0.134454,6,0,273,10,3,11,0,1,2,4,0.25,15,8.5,357,34.740914,clean
19,0.046154,0.002564,2,0,0,1,1,20,0,1,1,1,1,1,1,390,37.313834,clean
5,0.014286,0,0,0,0,1,1,17,0,1,1,1,1,1,1,350,0.387023,clean
15,0,0.05137,0,0,0,1,1,13,0,1,2,4,0.5,1,1,292,34.740914,clean
5,0.010899,0.002725,2,0,249,3,3,23,249,1,2,4,0.75,1,1,367,0,clean
11,0.113636,0.011364,1,0,192,2,2,10,192,1,1,2,1,10,10,88,1.415037,clean
1,0.001931,0,0,0,238,2,1,9,238,1,2,6,0.5,12,12,518,27.417024,clean
6,0.072464,0.014493,0,0,56,2,2,14,56,1,2,4,0.25,1,1,69,0,clean
58,0.028011,0.134454,6,0,273,9,3,13,51,1,2,4,0.5,1,1,357,34.740914,clean
2,0.007042,0.007042,0,0,222,4,2,11,39,1,1,1,1,8,8,142,11.821958,clean
11,0.005348,0.024064,4,0,0,2,2,11,0,1,2,4,0.25,15,8.5,374,34.740914,clean
5,0.027473,0,1,0,0,1,1,13,0,1,2,6,0.5,2,2,182,27.417024,clean
5,0.027473,0,1,0,238,2,1,9,238,1,2,6,0.5,12,12,182,27.417024,clean
2,0.003252,0,0,0,511,3,2,10,273,1,1,1,1,1,1,615,0,clean
2,0.007042,0.007042,0,0,596,8,3,15,266,1,1,1,1,1,1,142,11.821958,clean
6,0.005566,0.005566,1,0,13,2,1,16,13,1,1,1,1,2,2,539,0,clean
2,0.008299,0,1,0,45,2,2,13,45,1,2,6,0.5,2,2,241,27.417024,clean
6,0.024691,0,1,0,192,4,2,10,0,1,1,2,0.5,11,11,243,1.415037,clean
11,0.113636,0.011364,1,0,0,1,1,6,0,1,1,2,0.5,1,1,88,1.415037,clean
2,0.007042,0.007042,0,0,183,3,2,10,2,1,2,2,1,7,7,142,29.535031,clean
15,0,0.05137,0,0,0,2,2,11,0,1,2,4,0.25,15,8.5,292,34.740914,clean
2,0.003263,0,1,0,0,1,1,13,0,1,2,6,0.5,2,2,613,27.417024,clean
6,0.014164,0.002833,0,0,160,7,2,10,12,1,2,2,1,7,7,353,29.535031,clean
2,0.002457,0.002457,0,0,242,4,4,14,56,1,2,4,0.25,1,1,407,0,clean
1,0.001931,0,0,0,0,1,1,13,0,1,2,6,0.5,2,2,518,27.417024,clean
5,0,0.014085,0,0,116,3,2,20,132,1,1,1,1,2,2,355,0,clean
9,0.09375,0,7,0,0,1,1,13,0,1,2,6,0.5,2,2,96,27.417024,clean
2,0.008097,0,1,0,193,5,2,9,0,1,2,6,0.5,12,12,247,27.417024,clean
9,0.09375,0,7,0,238,2,1,9,238,1,2,6,0.5,12,12,96,27.417024,clean
2,0.001927,0.001927,0,0,289,4,2,11,0,1,2,4,0.25,15,8.5,519,34.740914,clean
8,0.009634,0.00578,0,0,807,5,3,15,517,1,1,1,1,1,1,519,18.657898,clean
2,0.002457,0.002457,0,0,186,3,3,23,182,1,2,4,0.75,1,1,407,0,clean
6,0.024896,0,1,0,192,3,2,10,237,1,1,2,1,10,10,241,1.415037,clean
1,0.013699,0,0,0,134,3,3,20,78,1,1,1,1,1,1,73,0,clean
2,0.001927,0.001927,0,0,290,3,2,13,51,1,2,4,0.5,1,1,519,34.740914,clean
11,0.113636,0.011364,1,0,192,3,2,10,0,1,1,2,0.5,11,11,88,1.415037,clean
1,0.013699,0,0,0,188,4,3,13,53,1,1,1,1,2,2,73,0,clean
1,0.002123,0,0,0,8,2,2,13,8,1,1,1,1,16,9.5,471,0,clean
6,0.072464,0.014493,0,0,0,1,1,23,0,1,2,4,0.75,1,1,69,0,clean
3,0.01083,0,1,0,249,3,3,23,249,1,2,4,0.75,1,1,277,0,clean
2,0.003263,0,1,0,238,2,1,9,238,1,2,6,0.5,12,12,613,27.417024,clean
59,0.070611,0.041985,1,0,0,1,1,14,0,1,1,1,1,1,1,524,10.447857,clean
2,0.007042,0.007042,0,0,329,7,2,10,83,1,1,1,1,2,1.5,142,11.821958,clean
11,0.005348,0.024064,4,0,0,1,1,13,0,1,2,4,0.5,1,1,374,34.740914,clean
3,0.005566,0,0,0,332,3,2,12,319,1,1,1,1,1,1,539,0,clean
5,0,0.013966,0,0,137,5,2,11,20,1,1,1,1,4,4,358,0,clean
6,0.014286,0.002857,0,0,147,6,2,13,10,1,1,1,1,5,5,350,29.535031,clean
3,0.008475,0,0,0,222,8,2,9,61,1,2,6,0.5,12,12,354,27.417024,clean
