@relation creadur-rat_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean}

@data
2,0.029412,0.029412,0,0,0,2,1,21,0,3,15,21,0.285714,8,8,34,22.062502,clean
6,0.02459,0.02459,2,0,0,1,1,21,0,1,1,1,1,7,7,122,0,clean
13,0.342857,0.028571,0,0,800,2,2,11,800,1,1,1,1,1,1,35,21.566862,clean
4,0.026316,0.026316,0,0,0,1,1,5,0,3,13,17,0.235294,10,10,76,14.154256,clean
2,0.023256,0.023256,0,0,0,1,1,20,0,1,3,3,0.666667,1,1,43,0,clean
14,0.013193,0.023747,2,0,223,3,2,5,215,3,13,17,0.235294,10,10,379,14.154256,clean
45,0.03271,0.07243,5,0,0,1,1,22,0,1,1,1,1,2,2,428,27.110432,clean
2,0.004651,0.004651,0,0,8,2,1,10,8,2,2,2,0.5,15,8.5,215,11.641558,clean
2,0.029412,0.029412,0,0,0,1,1,20,0,3,11,13,0.307692,3,3,34,22.040035,clean
8,0.010695,0.010695,1,0,289,5,2,23,12,1,1,1,1,13,13,374,20.745293,clean
2,0.013889,0.013889,0,0,0,1,1,20,0,3,11,13,0.307692,3,3,72,22.040035,clean
6,0.029412,0.029412,0,0,0,1,1,21,0,3,15,21,0.285714,8,8,102,22.062502,clean
2,0.008475,0.008475,0,0,0,1,1,20,0,3,11,13,0.307692,3,3,118,22.040035,clean
9,0.011933,0.009547,0,0,3,7,1,22,0,1,1,1,1,8,8,419,0,clean
29,0.041899,0.039106,1,0,77,2,1,22,77,2,2,2,1,14,7.5,358,0,clean
3,0.027397,0.013699,1,0,0,1,1,21,0,3,15,21,0.285714,8,8,73,22.062502,clean
2,0.016393,0.016393,0,0,0,1,1,21,0,3,15,21,0.285714,8,8,61,22.062502,clean
2,0.0125,0.0125,0,0,0,1,1,20,0,3,11,13,0.307692,3,3,80,22.040035,clean
13,0.342857,0.028571,0,0,801,3,3,21,0,1,1,1,1,1,1,35,21.566862,clean
17,0.046667,0.066667,0,0,0,3,1,20,0,1,1,1,1,5,5,150,109.042201,clean
2,0.025,0.025,0,0,0,1,1,20,0,3,11,13,0.307692,3,3,40,22.040035,clean
8,0.006154,0.006154,3,0,0,1,1,5,0,3,13,17,0.235294,10,10,650,14.154256,clean
4,0.013605,0.013605,1,0,0,1,1,5,0,3,13,17,0.235294,10,10,147,14.154256,clean
25,0.036585,0.02439,3,0,1,3,1,22,0,1,1,1,1,4,4,410,42.877008,clean
4,0.027778,0.027778,0,0,0,1,1,20,0,3,11,13,0.307692,3,3,72,22.040035,clean
6,0.009569,0.004785,2,0,601,9,2,20,588,1,3,3,0.666667,1,1,418,0,clean
2,0.002639,0.002639,0,0,8,2,1,18,8,2,3,3,0.666667,3,3,379,1.415037,clean
1,0,0.002381,0,0,601,10,2,20,0,1,1,1,1,2,2,420,0,clean
2,0.003226,0.003226,0,0,0,1,1,21,0,3,15,21,0.285714,8,8,310,22.062502,clean
15,0.017032,0.019465,1,0,1,2,1,20,1,1,1,1,1,3,3,411,17.017912,clean
15,0.038251,0.002732,2,0,0,1,1,17,0,1,1,1,1,1,1,366,16.210112,clean
8,0.045977,0.045977,0,0,0,1,1,21,0,3,15,21,0.285714,8,8,87,22.062502,clean
