@relation deltaspike_Line_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {buggy,clean}

@data
9,0.024024,0.003003,0,1,0,1,1,20,0,1,3,3,0.666667,4,4,333,1.611789,buggy
3,0,0.026786,1,2,3,2,1,14,3,1,1,4,0.5,4,4,112,1.530315,buggy
23,0.575,0,0,0,0,1,1,17,0,1,1,1,1,1,1,40,1.347912,clean
18,0.5,0,0,0,0,1,1,22,0,1,1,1,1,2,2,36,3.868342,clean
17,0.133333,0.028571,1,1,0,1,1,20,0,1,7,11,0.090909,15,15,105,1.380705,buggy
2,0.01105,0,0,4,20,5,2,21,16,1,6,10,0.3,1,1,181,1.647507,buggy
171,0.85625,0.2125,3,0,0,1,1,11,0,1,3,3,0.666667,2,2,160,1.917755,clean
23,0.884615,0,0,0,0,1,1,11,0,1,1,1,1,4,4,26,3.864964,clean
4,0.02381,0.007937,0,0,0,1,1,16,0,1,3,3,0.666667,22,13.5,126,0.755205,clean
4,0.018519,0.006173,0,0,0,2,1,20,0,1,1,1,1,34,18.5,162,3.270536,clean
8,0.035714,0.021429,1,2,159,3,2,10,110,1,4,5,0.6,1,1,140,2.041354,clean
15,0.051095,0.058394,2,1,0,1,1,2,0,1,9,25,0.04,1,1,137,2.011461,buggy
2,0.003584,0.003584,0,0,6,2,1,17,6,1,2,4,0.75,6,6,279,3.592483,clean
6,0.00726,0.00363,0,3,14,5,2,12,0,1,1,1,1,5,5,551,2.128853,clean
35,0.135593,0.457627,0,0,36,3,2,22,30,1,1,3,1,15,7.5,59,2.034055,clean
11,0.000812,0.008123,1,3,23,4,1,22,2,1,1,1,1,15,15,1231,1.430136,clean
11,0.055046,0.045872,1,3,4,3,1,17,1,1,2,3,1,12,12,109,2.995309,buggy
6,0.009434,0.001887,1,6,239,9,2,14,22,1,1,1,1,28,28,530,1.767643,buggy
4,0.017857,0.017857,1,1,0,1,1,2,0,1,9,25,0.04,1,1,112,2.01146,buggy
6,0.089552,0,2,0,14,6,1,13,0,1,1,1,1,12,12,67,2.91591,clean
4,0.027397,0.027397,1,1,0,1,1,2,0,1,9,25,0.04,1,1,73,2.011461,buggy
20,0.063584,0.052023,1,2,0,2,1,16,0,1,4,5,0.4,7,7,173,0.986358,buggy
5,0.011848,0,0,0,0,1,1,17,0,1,1,1,1,11,11,422,1.457565,clean
2,0.002041,0.002041,0,0,231,2,2,10,231,1,4,5,0.6,1,1,490,2.041354,clean
