@relation eagle_Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
3,1,2,0,2,2,7,5,2.999019,0
5,3,2,0,1,1,5,3,3.103466,0
24,13,11,6,2,2,3,2,3.875331,0
43,21,22,1,1,1,1,1,5.553106,0
9,9,0,2,1,1,2,1,3.57111,0
88,55,33,6,4,4,9,6,10.686942,0
16,16,0,0,1,1,2,1,6.671392,0
154,150,4,5,5,4,5,5,17.603146,0
5231,2591,2640,2,47,4,51,50,19.716276,0
108,67,41,0,5,5,10,6,12.676585,0
14,8,6,2,1,1,6,2,3.884358,0
2,1,1,0,1,1,1,1,2.846515,0
10,6,4,0,1,1,2,1,3.088747,0
65,25,40,5,6,5,21,9,7.732667,0
786,633,153,28,35,17,78,47,19.439108,0
25,13,12,0,1,1,4,2,4.096714,0
609,438,171,14,8,6,11,10,18.27084,0
3,1,2,0,1,1,3,3,3.074029,0
31,22,9,3,6,4,6,6,5.277896,1
288,285,3,9,7,5,9,9,18.24301,0
26,21,5,2,2,1,6,5,5.256957,0
13,10,3,2,1,1,2,1,4.229826,0
12,8,4,2,1,1,5,1,3.858325,0
655,653,2,11,10,7,10,10,18.479565,0
4,1,3,1,2,1,6,4,2.8486,0
6,3,3,0,1,1,5,3,3.294291,0
5,3,2,0,1,1,4,3,3.103466,0
13,11,2,0,3,2,13,9,4.410789,0
88,78,10,3,3,3,6,3,8.944808,0
77,45,32,1,2,2,6,2,8.956694,0
35,20,15,7,2,1,10,4,4.77789,0
24,13,11,3,1,1,1,1,4.311619,0
2,1,1,0,1,1,4,2,2.820351,1
194,136,58,18,25,8,62,47,17.715464,0
270,260,10,11,8,7,15,10,19.167917,0
2,1,1,0,1,1,1,1,2.999019,0
7,4,3,0,1,1,1,1,3.550639,0
821,811,10,21,19,9,27,21,18.888777,0
582,473,109,34,22,15,26,24,18.956543,0
1386,1356,30,23,32,17,39,37,18.933765,0
26,17,9,3,3,3,3,3,4.27756,0
1605,1471,134,51,48,28,120,110,19.593702,0
49,30,19,5,2,2,2,2,6.782076,0
28,9,19,6,3,3,10,5,3.510401,0
205,103,102,1,3,3,3,3,14.321484,0
5,4,1,3,2,2,10,6,3.22414,0
3,2,1,0,1,1,1,1,3.205152,0
666,327,339,0,11,1,11,11,18.05537,0
33,2,31,0,2,1,6,4,2.922612,0
11,9,2,1,1,1,3,2,3.464093,0
350,325,25,5,6,3,9,8,18.085087,0
2,1,1,0,1,1,1,1,2.908219,0
6,3,3,1,1,1,3,3,2.918777,0
439,370,69,15,10,5,24,18,18.791058,0
64,42,22,12,10,7,10,10,8.153499,0
32,20,12,1,1,1,3,2,6.270745,0
2,1,1,0,1,1,2,1,2.8486,0
12,7,5,2,3,2,3,3,3.436885,0
11,7,4,3,2,2,2,2,4.10526,0
11,4,7,2,1,1,1,1,3.19728,0
8,8,0,0,2,2,8,4,3.691173,0
8,8,0,0,2,2,4,3,3.642698,0
1467,1394,73,46,39,16,64,61,19.566992,1
219,168,51,22,12,6,19,18,18.309797,0
8,8,0,0,2,2,6,4,3.642698,0
86,86,0,1,1,1,1,1,16.648447,0
923,731,192,33,27,16,66,43,19.734428,1
481,361,120,15,15,8,24,16,18.073711,0
38,8,30,0,1,1,1,1,3.689293,0
2,1,1,0,1,1,3,3,2.908219,0
10,10,0,0,1,1,1,1,3.544873,0
444,372,72,20,22,15,66,37,19.173821,0
89,52,37,4,2,2,2,2,12.154568,0
4,2,2,1,1,1,2,2,3.119312,0
2,2,0,0,2,2,12,8,2.890936,0
38,24,14,0,10,6,29,22,5.733816,0
10,6,4,0,1,1,1,1,3.088747,0
145,107,38,6,4,4,8,4,17.674311,0
2,1,1,0,1,1,3,1,2.908219,0
11,5,6,4,1,1,2,2,3.294155,0
21,18,3,3,1,1,2,2,4.107602,0
21,10,11,5,3,3,4,4,3.843037,0
1,1,0,0,1,1,3,2,2.845543,0
2,1,1,0,1,1,2,2,2.774651,0
73,36,37,3,2,2,6,4,4.975237,0
6,3,3,0,1,1,4,3,3.294291,0
1388,1364,24,41,42,26,48,46,18.598839,1
203,113,90,10,6,5,9,9,17.258423,0
25,14,11,1,3,3,12,6,4.574241,0
5,3,2,2,1,1,3,2,3.198228,0
108,108,0,2,2,2,2,2,18.307341,0
4,2,2,0,2,1,4,4,3.036409,0
1233,1210,23,18,27,13,28,28,19.067585,0
2,1,1,0,1,1,3,2,2.992114,0
491,490,1,9,9,7,12,12,18.724237,0
235,118,117,19,13,5,20,16,16.811329,0
11411,5724,5687,42,100,8,110,110,21.40543,0
78,53,25,5,3,3,9,5,9.808093,0
127,58,69,5,6,4,17,9,10.892526,0
151,144,7,3,4,3,5,4,15.711334,0
28,21,7,4,1,1,2,2,5.930811,0
13,11,2,0,3,2,10,6,4.410789,0
13,9,4,3,4,3,10,6,4.090127,0
339,319,20,10,6,4,10,9,18.405239,0
103,103,0,4,4,3,4,4,18.181513,0
53,34,19,5,3,3,3,3,5.359878,0
168,148,20,9,8,5,10,9,18.998087,0
1007,476,531,0,115,34,125,116,16.805683,0
5,5,0,1,1,1,4,2,3.27776,0
32,20,12,1,1,1,2,2,6.270745,0
