@relation groovy_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,43,clean
32,0.045198,0.045198,1,2,332,3,1,1,5,1,3,51,0.078431,571,420,354,buggy
2,0.015625,0.015625,0,0,0,2,1,20,0,1,10,23,0.565217,405,245.83333,64,clean
2,0,0.030303,0,1,392,2,2,9,392,1,14,39,0.435897,283,234.5,66,clean
1,0,0.006711,0,0,0,1,1,22,0,1,6,53,0.132075,285,236.5,149,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,141,clean
3,0,0.038462,0,4,414,5,3,16,304,1,54,421,0.114014,303,144.33333,78,buggy
30,0.049356,0.015021,3,2,83,4,3,9,0,1,1,1,1,363,212,466,clean
5,0.008696,0.002174,0,3,110,4,2,14,0,1,20,76,0.052632,393,242,460,buggy
1,0,0.000641,0,22,211,27,5,14,0,1,1,1,1,491,340,1559,clean
158,0.132867,0.41958,7,9,506,11,3,14,96,1,1,4,1,648,298.66666,286,buggy
216,1.009346,1.009346,1,0,0,1,1,8,0,1,16,212,0.004717,289,289,107,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,69,clean
0,0,0,0,0,0,1,1,10,0,1,4,20,0.05,36,36,39,clean
4,0.015748,0.015748,0,0,254,3,3,0,245,1,45,201,0.348259,516,365,127,clean
27,0.015487,0.004425,3,1,0,1,1,17,0,1,1,1,1,1,1,1356,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,66,clean
256,0.055013,0.001775,13,47,262,75,2,22,22,1,1,1,1,328,177,4508,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,61,clean
22,0.056701,0.056701,1,1,0,1,1,1,0,1,3,51,0.078431,571,420,194,buggy
4,0.058824,0.058824,1,1,0,1,1,14,0,1,7,31,0.290323,421,261.8333,34,buggy
31,0.007191,0.006742,3,8,56,10,5,8,0,1,1,1,1,346,195,2225,buggy
8,0.013825,0.023041,0,3,111,5,3,10,1,1,1,1,1,404,253,217,buggy
13,0.002247,0.000674,3,37,145,62,2,20,0,1,1,1,1,173,173,4450,clean
10,0.047619,0.047619,1,1,0,1,1,1,0,1,3,51,0.078431,571,420,105,buggy
1,0,0.012195,0,0,377,2,2,8,377,1,1,21,0.190476,286,127.33333,82,clean
1,0.002817,0,0,4,531,8,2,18,0,1,4,12,0.166667,382,222.83333,355,clean
2,0.001208,0.001208,0,5,55,7,3,21,1,1,1,2,1,6,6,828,clean
3,0,0.088235,0,0,385,2,2,14,385,1,11,58,0.189655,288,129.33333,34,clean
2,0.004902,0,0,3,110,6,3,17,0,1,5,5,0.2,394,243,408,clean
8,0.001798,0.001798,2,7,56,9,5,20,0,1,1,1,1,122,73.5,2225,buggy
6,0.042735,0.008547,0,1,0,1,1,17,0,1,24,95,0.178947,199,199,117,buggy
8,0.00066,0.0011,1,29,116,45,2,6,4,1,1,1,1,136,136,4545,buggy
7,0.03139,0,0,2,339,6,1,0,0,1,1,17,0.058824,581,430,223,clean
14,0.023419,0.009368,4,1,99,2,2,2,99,1,6,12,0.25,153,104.5,427,buggy
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,1510,clean
4,0.00939,0.00939,1,4,254,6,3,0,145,1,45,201,0.348259,516,365,213,clean
2,0.018868,0.018868,0,0,254,2,2,0,254,1,45,201,0.348259,516,365,53,clean
2,0,0.044444,0,2,104,3,1,13,0,1,22,70,0.042857,392,241,45,buggy
4,0.002342,0.002342,1,0,0,1,1,15,0,2,4,9,0.222222,40,40,854,clean
35,0.098291,0.051282,3,3,377,4,2,22,108,1,1,2,1,2,1.333333,234,buggy
2,0.022727,0.022727,0,1,8,3,1,17,0,1,1,1,1,209,209,44,clean
2,0.017544,0.017544,0,1,0,2,1,14,0,1,7,31,0.290323,421,261.8333,57,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,43,clean
0,0,0,0,0,0,1,1,19,0,1,18,235,0.004255,430,270.8333,204,clean
6,0.008929,0.008929,3,1,0,1,1,12,0,2,14,21,0.428571,309,158,336,buggy
0,0,0,0,0,0,1,1,19,0,1,18,235,0.004255,430,270.8333,577,clean
2,0.004831,0.004831,0,3,118,5,3,22,8,1,6,20,0.15,172,123.5,207,clean
2,0,0.015038,0,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,133,buggy
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,202,clean
70,1.769231,0.025641,1,1,0,1,1,16,0,1,1,1,1,64,64,39,buggy
0,0,0,0,0,0,1,1,13,0,1,1,17,0.058824,411,251.83333,61,clean
10,0.028481,0.003165,1,1,71,2,2,11,71,1,1,1,1,26,26,316,buggy
6,0.012146,0.012146,2,1,0,1,1,20,0,1,3,38,0.078947,135,86.5,247,buggy
7,0.086957,0.014493,0,7,91,10,2,1,0,1,1,1,1,98,98,69,buggy
1,0.009804,0,0,1,109,2,2,0,109,1,22,70,0.2,387,236,102,buggy
2,0.016949,0.016949,0,1,109,2,2,7,109,1,13,30,0.466667,388,237,59,buggy
20,0.216667,0.116667,1,0,0,1,1,7,0,1,13,25,0.28,27,27,60,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,44,clean
2,0.000056,0.000056,0,15,511,38,7,9,22,2,6,6,1,366,206.83333,17907,clean
3,0.000662,0.001325,0,0,103,2,1,12,103,1,5,6,0.666667,384,233,1510,clean
2,0.045455,0,0,3,110,4,2,14,0,1,20,76,0.052632,393,242,44,buggy
2,0.00041,0.00041,0,13,331,19,5,20,0,2,2,2,0.5,276,276,2437,buggy
81,0.083333,0.007883,3,1,14,2,2,0,14,1,4,5,0.6,5,5,888,buggy
10,0.011236,0,1,13,331,17,3,20,0,1,1,1,1,262,213.5,890,clean
2,0.017241,0.017241,0,1,254,3,2,0,128,1,45,201,0.348259,516,365,58,clean
1,0.026316,0,0,3,104,4,1,14,0,1,20,76,0.052632,393,242,38,buggy
17,0.021888,0.001368,0,2,205,3,2,11,3,1,21,68,0.073529,193,193,731,buggy
4,0.004435,0.004435,0,3,254,5,2,0,144,1,45,201,0.348259,516,365,451,clean
17,0.130435,0.017391,1,0,0,2,2,15,0,1,1,1,1,1,1,115,clean
