@relation guacamole-client_Single_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean,buggy}

@data
5,0.046729,0,0,1,236,7,3,19,27,3,25,49,0.081633,24,24,107,171.362518,clean
58,0.240343,0.008584,5,0,0,2,1,20,0,1,2,4,0.5,33,33,233,25.038173,clean
11,0.109375,0.0625,1,2,580,6,3,13,176,1,13,41,0.243902,229,174.5,64,0,clean
2,0,0.007435,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,269,0,clean
2,0,0.032258,0,0,0,1,1,9,0,1,5,8,0.5,10,10,62,0,clean
2,0,0.016807,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,119,0,clean
20,0.007505,0.030019,1,5,241,13,4,20,0,2,3,6,0.166667,84,84,533,92.587216,clean
6,0.008,0.004,1,3,634,14,3,13,0,1,13,41,0.02439,230,175.5,500,0,clean
2,0,0.007435,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,269,0,clean
1,0,0.003663,0,5,778,7,3,15,0,1,1,3,1,261,120.33333,273,0,buggy
5,0.049505,0,0,1,60,3,2,12,60,3,12,13,0.153846,22,22,101,34.955041,buggy
14,0.125,0,0,1,336,10,3,14,93,3,12,13,0.153846,113,62,112,1.906891,clean
2,0,0.027778,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,72,0,clean
2,0,0.014085,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,142,0,clean
32,0.068376,0,1,2,250,8,2,12,97,1,1,2,1,86,86,468,140.517733,buggy
2,0,0.046512,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,43,0,clean
15,0.039773,0.045455,2,4,232,7,1,20,3,1,2,2,0.5,70,70,176,19.30191,buggy
3,0.002755,0.00551,0,10,469,22,5,16,4,2,4,5,1,16,16,363,0,buggy
13,0.04,0.034286,0,2,18,3,2,11,0,1,1,1,1,13,9.5,175,51.137535,clean
2,0,0.010204,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,196,0,clean
6,0.028302,0,0,2,209,7,4,15,118,3,12,17,0.176471,43,43,212,11.95456,clean
2,0.004926,0.004926,0,1,406,7,3,15,6,2,7,6,0.5,127,70.5,203,132.413118,clean
2,0,0.020833,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,96,0,clean
5,0.024155,0,0,1,209,6,3,15,118,3,12,17,0.176471,43,43,207,11.95456,clean
5,0.045455,0,0,1,215,3,1,13,29,1,1,1,1,67,67,110,10.928565,clean
2,0,0.033333,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,60,0,clean
81,0.060748,0.317757,6,6,266,8,1,11,20,1,1,3,1,173,118.5,214,2.058894,buggy
1,0,0.007143,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,140,0,clean
4,0.009302,0.009302,1,1,12,2,2,17,12,2,7,10,0.2,1,1,215,0,clean
20,0.265625,0.046875,0,0,0,1,1,15,0,1,1,2,0.5,10,6.5,64,25.436658,clean
50,0.18617,0.079787,4,11,863,29,3,19,0,2,5,7,0.142857,235,113.16667,188,106.326245,clean
2,0,0.016667,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,120,0,clean
22,0,0.115183,0,2,339,7,3,9,0,2,3,5,0.4,118,67,191,53.311942,clean
7,0.005464,0.032787,1,3,472,6,4,12,0,1,1,1,1,24,24,183,0,buggy
2,0.004902,0.004902,0,11,861,26,3,12,0,2,3,3,0.333333,277,135.83333,204,72.774559,clean
2,0.012821,0.012821,0,3,84,7,1,14,23,1,2,4,0.75,192,137.5,78,0,clean
34,0.145833,0.208333,3,1,0,1,1,12,0,1,1,2,1,78,78,96,0.152003,buggy
32,0.068376,0,1,2,365,10,3,10,114,1,4,14,0.5,94,49.5,468,508.654169,clean
2,0,0.016529,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,121,0,clean
2,0,0.035714,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,56,0,clean
18,0.084112,0,1,3,461,15,3,21,15,1,5,6,0.166667,145,94,214,35.448996,clean
7,0.06087,0,0,1,266,9,4,10,4,3,9,9,0.222222,93,93,115,7.325601,clean
4,0.032258,0.032258,1,1,0,1,1,9,0,1,5,14,0.428571,280,Infinity,62,21.491542,buggy
6,0.014706,0.014706,2,5,71,7,4,20,5,1,5,10,0.5,284,Infinity,204,0,buggy
110,0.12931,0.344828,6,7,618,15,3,21,0,2,8,19,0.105263,26,14,232,5.775051,buggy
7,0.049383,0.037037,0,3,93,9,1,22,0,1,1,1,1,197,142.5,81,37.631593,clean
9,0.011561,0.00578,1,1,457,8,3,14,1,1,7,27,0.296296,165,108.5,519,167.219672,clean
1,0,0.008065,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,124,0,clean
26,0.333333,0,1,2,6,4,2,21,0,2,8,19,0.105263,26,14,78,5.775051,buggy
9,0.011613,0,0,5,460,21,5,14,247,3,3,4,0.5,254,Infinity,775,2.6386,buggy
2,0,0.013245,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,151,0,clean
32,0.101266,0,2,0,34,3,2,22,34,2,6,8,0.375,25,25,316,55.967772,clean
68,0.481752,0.014599,1,2,708,8,3,11,89,4,31,87,0.126437,1,1,137,13.679686,clean
2,0,0.029851,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,67,0,clean
2,0.003731,0,1,2,170,4,3,5,0,3,5,11,0.363636,7,7,536,15.008292,buggy
2,0,0.029412,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,68,0,clean
9,0.064516,0.008065,0,0,383,4,2,13,0,1,13,41,0.02439,230,175.5,124,0,clean
5,0.022901,0.015267,0,1,1,5,2,8,2,3,16,29,0.137931,235,180.5,131,13.679686,clean
2,0,0.028986,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,69,0,clean
14,0.121739,0,0,1,343,6,2,14,93,3,12,13,0.153846,113,62,115,1.906891,clean
58,0.015504,0.434109,3,2,432,12,4,17,71,2,11,13,0.384615,129,72.5,129,95.266775,buggy
2,0,0.004367,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,458,0,clean
2,0,0.006494,0,0,55,2,2,23,55,5,70,390,0.035897,13,13,308,0,clean
13,0.058296,0,0,3,193,10,3,13,0,2,5,4,0.5,57,57,223,-0,buggy
2,0.005525,0.005525,0,4,233,11,1,15,0,1,1,1,1,75,75,181,0,clean
2,0,0.020202,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,99,0,clean
2,0,0.008621,0,0,19,3,2,23,19,5,70,390,0.035897,13,13,232,0,clean
16,0.083333,0.064815,4,14,863,28,3,19,2,2,5,7,0.857143,234,112.16667,108,106.326245,clean
18,0.327273,0,0,0,0,1,1,20,0,1,2,4,0.5,33,33,55,25.038173,clean
23,0.024242,0.045455,3,3,36,5,4,20,5,1,5,10,0.5,284,Infinity,330,0,buggy
2,0,0.028986,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,69,0,clean
2,0,0.013605,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,147,0,clean
9,0.009119,0.018237,1,4,97,10,3,22,0,1,1,1,1,31,31,329,10.42484,clean
25,0.09542,0,1,1,138,4,3,19,0,1,2,3,0.333333,51,51,262,0,clean
42,0.358974,0.179487,2,2,708,8,4,11,127,4,31,87,0.126437,1,1,78,13.679686,clean
10,0.008237,0.008237,2,3,191,5,3,16,21,2,6,13,0.461538,11,11,607,14.682823,buggy
16,0.013605,0.040816,2,12,94,15,3,20,0,1,2,3,1,26,26,294,0.788496,buggy
21,0.229508,0.114754,0,4,343,7,2,15,0,1,2,5,0.6,112,61,61,9.832486,buggy
2,0,0.027397,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,73,0,clean
5,0.047619,0,0,0,557,5,3,18,0,1,1,1,1,223,168.5,105,0,clean
2,0,0.009091,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,220,0,clean
2,0,0.028986,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,69,0,clean
15,0.055838,0.020305,3,11,860,25,3,20,194,2,4,5,0.6,276,134.83333,197,75.266475,buggy
1,0,0.013333,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,75,0,clean
2,0,0.029412,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,68,0,clean
27,0.105469,0,3,1,415,5,2,14,355,1,5,6,0.833333,141,84.5,256,35.448996,clean
4,0.018868,0.018868,1,1,0,1,1,12,0,1,1,1,1,190,133.5,106,1.069526,buggy
12,0.04902,0.009804,2,0,0,3,1,14,0,1,2,2,0.5,170,113.5,204,0.192645,clean
6,0.036036,0.018018,1,4,71,5,3,20,35,1,5,10,0.5,284,Infinity,111,0,buggy
2,0,0.029412,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,68,0,clean
2,0,0.020833,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,96,0,clean
4,0.011364,0.003788,0,0,457,5,2,14,1,1,7,27,0.296296,165,108.5,264,167.219672,clean
2,0.002469,0.002469,0,1,0,2,2,10,0,1,1,1,1,5,5,405,0,clean
4,0.002584,0.002584,1,3,210,13,4,15,0,2,3,3,0.333333,44,44,774,109.802419,clean
28,0.141975,0.030864,3,0,0,4,2,23,0,1,1,1,1,117,66,162,21.042335,clean
6,0.002907,0.014535,1,6,478,10,3,11,7,2,2,3,1,25,25,344,9.345405,buggy
52,0.403101,0,1,1,618,5,2,20,0,2,8,19,0.368421,25,13,129,5.775051,clean
67,0.084112,0.542056,2,2,196,7,3,12,0,1,1,1,1,88,88,107,5.599913,clean
2,0,0.029412,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,68,0,clean
9,0.130435,0,1,0,557,4,3,18,0,1,7,7,0.142857,224,169.5,69,-0,clean
36,0.098655,0.06278,5,6,9,9,1,9,4,1,1,1,1,45,45,223,37.107969,buggy
121,0.40293,0.040293,8,3,556,9,3,19,0,2,4,3,0.666667,220,165.5,273,137.996271,clean
2,0.00885,0.00885,0,2,246,4,1,22,34,1,1,1,1,169,114.5,113,0,buggy
2,0.003968,0.003968,0,17,828,33,6,13,120,1,1,1,1,222,100.16667,252,12.814232,clean
95,0.009091,0.422727,4,5,407,12,3,17,170,2,11,13,0.384615,129,72.5,220,95.266775,buggy
2,0,0.024691,0,0,0,1,1,8,0,1,2,7,0.571429,51,51,81,0,clean
2,0,0.030769,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,65,0,clean
4,0.003759,0.011278,1,1,417,6,3,14,2,1,3,3,0.333333,136,79.5,266,0,clean
1,0,0.012658,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,79,0,clean
11,0.070513,0,0,2,21,7,3,10,0,1,3,4,0.75,15,15,156,0,clean
2,0.002801,0.002801,0,3,9,3,1,22,0,1,1,2,0.5,48,48,357,1.082989,buggy
24,0.031209,0,0,6,151,15,2,14,7,1,2,2,1,38,38,769,136.010011,clean
1,0,0.009346,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,107,0,clean
4,0.014184,0.014184,0,5,18,5,1,13,18,1,1,1,1,7,7,141,2.934375,buggy
2,0,0.044444,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,45,0,clean
33,0.113553,0.007326,3,13,98,20,3,17,0,1,3,4,1,40,40,273,19.687545,clean
65,0.130802,0.006329,5,4,236,10,3,19,16,3,25,49,0.081633,24,24,474,171.362518,clean
2,0,0.028986,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,69,0,clean
2,0.016667,0,1,2,336,9,4,14,93,3,12,13,0.153846,113,62,120,1.906891,clean
2,0.006993,0.006993,0,5,20,5,1,12,1,1,1,1,1,8,8,143,0,buggy
32,0.101266,0,2,0,71,4,2,20,105,2,4,6,0.166667,17,17,316,55.967772,clean
4,0.032258,0.032258,1,1,735,4,4,17,12,2,7,10,0.2,1,1,62,0,clean
7,0.046296,0.018519,0,1,618,5,2,20,0,2,8,19,0.368421,25,13,108,5.775051,clean
20,0.007505,0.030019,1,5,241,11,3,13,4,2,3,6,0.333333,74,74,533,92.587216,buggy
2,0,0.040816,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,49,0,clean
12,0.021672,0.01548,3,4,36,6,4,22,0,1,2,2,0.5,286,Infinity,323,0,buggy
32,0.20915,0,0,2,89,5,2,11,93,2,3,4,0.75,19,19,153,38.811817,clean
