@relation incubator-dolphinscheduler_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
5,0.006039,0,1,1,38,14,10,17,0,2,2,2,0.5,23,23,828,clean
2,0.000649,0.000649,0,1,0,1,1,11,0,2,2,2,0.5,3,3,1540,buggy
9,0.018349,0.002294,2,2,40,18,10,11,25,1,1,2,1,1,1,436,clean
21,0.032508,0,0,3,23,21,10,16,0,3,5,11,0.454545,61,61,646,clean
5,0.00625,0.009375,1,2,31,8,5,16,0,5,23,67,0.059701,4,4,320,clean
8,0.028926,0.004132,0,8,13,33,10,17,0,3,6,8,0.375,40,40,242,clean
7,0.013133,0,0,2,28,18,10,15,1,1,2,2,1,16,16,533,clean
3,0.022222,0,0,0,2,5,5,11,0,5,12,18,0.333333,1,1,135,clean
2,0.003106,0.003106,0,0,0,3,1,17,0,1,1,1,1,44,44,322,clean
199,0.899521,0.052632,2,2,8,23,6,16,1,4,22,61,0.114754,53,53,209,clean
56,0.252475,0.024752,5,4,25,30,10,23,0,4,26,69,0.043478,9,9,202,clean
2,0.010309,0,1,1,3,6,3,20,0,1,1,9,0.222222,47,47,194,clean
105,1.552239,0.014925,2,2,8,9,4,17,4,5,14,17,0.294118,9,9,67,clean
2,0.005495,0.005495,0,1,16,6,5,16,0,5,23,67,0.059701,4,4,182,clean
4,0.003704,0.003704,0,3,37,23,12,14,0,5,13,33,0.212121,2,2,540,buggy
2,0.007722,0,0,13,76,68,12,19,0,5,9,11,0.090909,60,60,259,clean
6,0.009868,0.009868,2,5,26,28,8,18,0,1,1,8,0.125,29,29,304,clean
19,0.113208,0.066038,0,2,4,9,5,15,0,2,6,12,0.083333,29,29,106,clean
35,0.240876,0.014599,2,1,0,2,2,20,0,4,7,14,0.285714,5,5,137,clean
2,0.003436,0,1,0,1,4,4,11,0,4,11,27,0.037037,11,11,582,clean
1,0.001374,0,0,1,17,11,8,16,5,3,5,10,0.4,42,42,728,buggy
17,0.005559,0.004941,2,7,32,42,11,17,0,1,1,1,1,63,63,1619,clean
16,0.043668,0.026201,1,2,5,10,6,11,0,4,11,27,0.037037,11,11,229,clean
4,0.014085,0,0,1,0,5,5,17,0,4,21,56,0.232143,4,4,284,clean
6,0,0.072289,1,0,4,8,7,15,0,4,22,61,0.065574,1,1,83,clean
52,0.159509,0,2,4,51,22,10,13,4,5,18,52,0.192308,1,1,326,clean
2,0.003367,0.003367,0,0,21,5,3,19,0,5,9,11,0.090909,60,60,297,clean
1,0.006667,0,0,1,5,10,5,17,3,3,6,8,0.625,32,32,150,buggy
6,0.009868,0.009868,2,5,26,27,8,18,3,1,1,8,0.625,32,32,304,buggy
1,0,0.022727,0,1,1,5,5,20,0,4,13,25,0.16,8,8,44,clean
42,0.217647,0.029412,7,4,48,19,8,16,0,5,23,67,0.059701,4,4,170,clean
46,0.175781,0.003906,4,2,71,20,8,11,4,3,4,4,0.75,56,56,256,clean
3,0.019108,0,0,0,0,2,1,17,0,1,1,2,1,30,30,157,clean
8,0.009862,0.005917,0,1,37,22,10,13,3,5,18,52,0.192308,1,1,507,clean
2,0.000939,0.000939,0,2,29,17,7,14,1,3,6,6,0.5,22,22,1065,clean
16,0.03211,0.004587,3,3,56,25,12,13,3,5,18,52,0.192308,1,1,436,clean
24,0.032368,0.008518,5,0,10,13,8,15,0,4,22,61,0.065574,1,1,587,clean
73,0.491071,0.160714,4,2,2,9,2,16,0,3,6,6,0.166667,13,13,112,clean
17,0.00975,0.000609,3,11,65,65,13,19,4,2,5,8,0.5,11,11,1641,buggy
155,0.245478,0.155039,8,2,10,8,4,12,3,2,2,2,1,6,6,387,clean
58,0.418033,0.057377,3,1,0,1,1,16,0,2,6,12,0.25,17,17,122,buggy
4,0.012195,0.012195,1,2,0,2,1,13,0,1,2,2,1,25,25,164,buggy
2,0.006098,0.006098,0,3,0,3,1,17,0,3,6,8,0.625,32,32,164,buggy
12,0.008485,0.006061,0,0,0,4,3,16,7,1,1,1,1,3,3,825,clean
58,0.131356,0.114407,7,1,4,8,5,23,0,4,26,69,0.043478,9,9,236,clean
15,0.02809,0,2,2,3,7,6,16,0,3,5,10,0.4,42,42,534,buggy
