@relation incubator-hivemall_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {buggy,clean}

@data
2,0.011765,0.011765,0,1,0,1,1,20,0,2,12,20,0.3,20,20,85,2.337705,buggy
12,0.06875,0.00625,1,3,673,5,2,16,113,2,4,6,0.5,77,41.833332,160,7.663141,buggy
44,0.177632,0.111842,4,1,0,1,1,6,0,1,25,67,0.059701,1,1,152,2.477916,buggy
22,0.06,0.013333,3,2,83,2,2,6,83,1,25,67,0.059701,1,1,300,2.477917,buggy
105,0.058447,0.037443,6,3,86,3,1,20,4,3,22,37,0.297297,8,8,1095,2.95405,buggy
7,0.012295,0.016393,0,1,0,1,1,16,0,1,1,6,0.166667,2,2,244,2.477031,buggy
264,3.60274,0.013699,2,1,0,1,1,20,0,2,12,20,0.3,20,20,73,2.337705,buggy
4,0.006993,0.006993,0,3,315,4,3,15,211,6,82,248,0.120968,39,25,286,2.229902,buggy
8,0.025316,0.025316,1,1,0,1,1,15,0,3,34,67,0.238806,6,5,158,2.302129,buggy
196,1.5,0.421569,1,4,54,4,3,18,40,2,19,48,0.083333,41,27,102,3.518396,buggy
27,0.53125,0.3125,1,1,0,1,1,6,0,1,25,67,0.059701,1,1,32,2.477916,buggy
5,0.019868,0.013245,0,1,0,1,1,2,0,1,7,21,0.142857,2,2,151,2.299418,buggy
145,0.112648,0.030632,6,2,81,2,1,21,81,1,5,8,0.25,7,7,1012,3.124793,buggy
21,0.168317,0.039604,2,1,0,1,1,18,0,2,19,48,0.083333,41,27,101,3.518396,buggy
4,0.006826,0.006826,0,2,3,2,1,11,3,4,19,31,0.290323,7,6,293,2.258878,buggy
3,0.007273,0.003636,0,1,129,2,2,11,129,1,1,1,1,1,1,275,2.29652,clean
9,0.048387,0.024194,0,2,13,2,2,15,13,6,82,248,0.120968,39,25,124,2.229902,buggy
21,0.061798,0.05618,5,4,54,4,2,18,40,2,19,48,0.083333,41,27,178,3.518396,buggy
2,0.00625,0.00625,0,2,559,4,2,19,53,1,4,12,0.833333,61,47,160,2.797129,clean
2,0.004115,0.004115,0,2,201,3,2,21,70,1,1,2,0.5,19,19,243,2.229902,clean
12,0.011765,0.011765,4,4,368,4,2,15,281,3,34,67,0.238806,6,5,510,2.302129,buggy
33,0.037475,0.027613,8,4,382,5,2,15,13,6,82,248,0.120968,39,25,507,2.229902,buggy
