@relation jena_Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
99,99,0,2,2,1,4,2,22.452919,0
8,4,4,0,2,2,5,3,4.505786,0
8,6,2,2,2,2,11,4,4.415843,1
34,21,13,3,2,1,6,4,6.467122,0
6,3,3,2,1,1,2,1,4.499169,0
2062,1588,474,26,23,8,62,31,19.828005,0
48,40,8,3,1,1,2,1,6.403244,0
3,2,1,0,1,1,5,3,3.937545,0
89,85,4,9,5,2,48,21,9.580346,0
40,27,13,3,6,4,31,17,8.216168,0
15,2,13,0,3,3,99,16,4.315341,0
50,28,22,1,1,1,15,4,5.70967,0
4,3,1,1,1,1,2,1,4.123031,0
388,312,76,42,9,5,30,20,20.270418,0
2,1,1,0,1,1,25,6,3.962228,0
707,388,319,5,3,2,20,10,20.209385,0
6,6,0,0,2,1,16,6,4.221576,0
7,5,2,0,1,1,2,1,3.988743,0
46,32,14,2,2,1,16,3,9.898578,0
6,5,1,0,2,2,11,6,4.123031,0
35,16,19,3,1,1,6,3,5.253352,0
6,4,2,2,2,1,8,2,4.12255,0
33,26,7,5,3,3,83,17,6.841601,0
13,7,6,1,4,4,12,4,5.104736,0
8,7,1,0,1,1,1,1,4.387207,0
65,39,26,4,3,2,20,7,10.61806,0
7,3,4,1,2,2,23,7,4.11297,0
186,54,132,9,4,4,40,9,14.991052,0
4,2,2,1,1,1,1,1,3.851831,0
17,14,3,1,2,2,5,3,4.665581,0
6,5,1,0,1,1,38,6,4.094302,0
329,177,152,5,4,1,9,4,18.735958,0
38,18,20,0,2,2,5,2,4.917228,0
752,748,4,8,4,2,14,7,20.713463,0
64,42,22,2,2,2,19,2,8.129532,0
1052,716,336,15,11,6,37,14,20.512539,0
12,6,6,2,2,2,55,16,4.473542,0
38,34,4,3,2,2,27,9,7.67651,0
84,84,0,1,1,1,2,1,19.254374,0
345,204,141,3,1,1,2,1,18.953264,0
97,33,64,9,7,3,18,8,8.018342,0
18,11,7,4,6,3,51,16,5.343209,0
54,20,34,1,2,1,4,3,6.718429,0
440,342,98,27,18,7,103,40,21.365635,0
135,135,0,2,2,1,2,2,21.790714,0
43,41,2,5,4,2,80,24,7.090912,0
38,19,19,2,5,5,72,17,5.860485,0
34,5,29,0,5,2,16,5,4.397671,0
23,7,16,0,1,1,1,1,4.330249,0
21,19,2,0,1,1,19,7,4.857363,1
57,39,18,5,4,1,18,10,13.268199,0
37,3,34,3,8,4,47,22,4.192459,0
112,42,70,5,1,1,19,5,11.234103,0
46,32,14,2,2,1,18,3,9.898578,0
2,1,1,0,1,1,1,1,3.852752,0
2,1,1,0,1,1,2,1,3.774125,0
724,724,0,4,7,3,18,13,21.607956,1
50,30,20,6,1,1,27,7,12.944621,0
42,5,37,2,3,2,6,4,4.424334,0
128,74,54,3,3,3,18,3,14.643358,1
174,87,87,9,7,6,47,16,17.047367,0
45,39,6,2,2,2,6,4,12.925137,0
34,14,20,0,1,1,1,1,4.59102,0
3,2,1,0,1,1,2,2,3.934331,0
41,34,7,6,2,2,7,5,8.535212,0
4,2,2,1,1,1,13,3,4.157287,0
6,2,4,1,1,1,2,1,4.225849,0
19,14,5,1,1,1,7,2,5.151937,0
253,253,0,2,2,1,4,4,16.144306,0
116,50,66,2,1,1,6,1,15.985605,0
