Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
8b9edf3278352735c257d3e756eeed92c94cc387,99,99,0,2,2,1,4,2,22.45291901,0
41ebfe01679a4bee830f53fe54bd9352e4f5a278,8,4,4,0,2,2,5,3,4.505785942,0
c83c8774450cb9e53e3d8d004db94a60525051d2,8,6,2,2,2,2,11,4,4.41584301,1
0dbc1c2b346f0ed5af73658c9dd0bdf50b3e8bac,34,21,13,3,2,1,6,4,6.467122078,0
e0c7aaa00977e1b990991276346978848530b403,6,3,3,2,1,1,2,1,4.499168873,0
b54c43c1687c1bea0445d57f4d010c1c6dfe191f,2062,1588,474,26,23,8,62,31,19.82800484,0
19da527e14ffc96b20a32f1307a0fd06f6f51228,48,40,8,3,1,1,2,1,6.403244019,0
0bcaaaa1e44948d3f2aea18869b98b3d350bd92d,3,2,1,0,1,1,5,3,3.937544584,0
58f3b540d26a710e3a39df9a8684c33e7cbd115a,89,85,4,9,5,2,48,21,9.580346107,0
4a1d965573a2dc532b572401c6234f26bb2a0935,40,27,13,3,6,4,31,17,8.216168404,0
a759b28a8722da4d2e121dcee68c1d120d92fe86,15,2,13,0,3,3,99,16,4.315341473,0
2e68e69572a1bf37ea943190f63567799de9589b,50,28,22,1,1,1,15,4,5.709670067,0
fef9827fd52a32679857cf8a24644b118ee10c65,4,3,1,1,1,1,2,1,4.123030663,0
cc038809fb622779933831011909714e22ef494c,388,312,76,42,9,5,30,20,20.27041817,0
dfa40be260e8e604223693f25d93ea3dc675b7c5,2,1,1,0,1,1,25,6,3.962228298,0
2e579e3811a6af296e539eef622b9dd811630970,707,388,319,5,3,2,20,10,20.20938492,0
2a5577725073d04671cec0359f9597b54b1d1efd,6,6,0,0,2,1,16,6,4.221575737,0
e2d8deed3bcf3ff11c22c2aba1f54bd88fa01929,7,5,2,0,1,1,2,1,3.98874259,0
efa2a7ac19ec148812f29634225a79f40e82f864,46,32,14,2,2,1,16,3,9.89857769,0
32e5f20ff6a0edab04f394bb388a18a4f94819e1,6,5,1,0,2,2,11,6,4.123030663,0
bd955ee0ec4e048ec232875899576c090e7cae9f,35,16,19,3,1,1,6,3,5.253352165,0
15995286209a2831fa9136d499bfd767a221a475,6,4,2,2,2,1,8,2,4.122549534,0
33a24ada5b82fb21b0411f8ba80e1c11db20a5d9,33,26,7,5,3,3,83,17,6.841601372,0
d2462e56e3f87e94c83acfabb22731daddeae594,13,7,6,1,4,4,12,4,5.104735851,0
16263e762e2558e88d724cba25549dc8350b73ae,8,7,1,0,1,1,1,1,4.387206554,0
9338a1fc091b59f073694e752a5837cb62f3f519,65,39,26,4,3,2,20,7,10.61806011,0
6dac178f813239f9d7145f03b1538b0dcb289295,7,3,4,1,2,2,23,7,4.112970352,0
61f1b83b0af6ad6449ded0668e10e79165384313,186,54,132,9,4,4,40,9,14.99105167,0
c9c6a849dddf025c0ef280df7a34828bf398a0ad,4,2,2,1,1,1,1,1,3.851831436,0
688006bf0318c206fc16eba2a8a97239e17060ce,17,14,3,1,2,2,5,3,4.665581226,0
c56d3d5676a95c26b6f07cf9fbcff9cf528848b2,6,5,1,0,1,1,38,6,4.094302177,0
d0101acb89c0d9b3e265bafc6177cd7f79121de5,329,177,152,5,4,1,9,4,18.7359581,0
0a7d5b38a0d26b2817f7fae8164f63f1cc79ab0a,38,18,20,0,2,2,5,2,4.917227745,0
3dfdfa8add99f1802d414bba117cbf94ebe3d817,752,748,4,8,4,2,14,7,20.71346283,0
f77d743efe6efe3bf9cc2e3b8e68751597531323,64,42,22,2,2,2,19,2,8.12953186,0
f89025a832aa8f854f0cee012be560b550c11ffd,1052,716,336,15,11,6,37,14,20.51253891,0
63525085be7927567a8d963586b15269416e1b90,12,6,6,2,2,2,55,16,4.473542213,0
a8a3ce4a71707f46ee2402446a38a7157dd1703f,38,34,4,3,2,2,27,9,7.676510334,0
8b3757bae52d08d4b308bd0f996ff452c60cc7c9,84,84,0,1,1,1,2,1,19.25437355,0
340bf9bf0c05b0b4fde161f4a86a76876ab0411f,345,204,141,3,1,1,2,1,18.95326424,0
982c0c7f6321bb280006624554e36669a9e98348,97,33,64,9,7,3,18,8,8.018342018,0
4977356b1ea9435b1f35cb59ea882a2e10e973c9,18,11,7,4,6,3,51,16,5.343209267,0
ce39286adefb8d5446fc78abea8656d1d9233de2,54,20,34,1,2,1,4,3,6.718428612,0
6e2a7e6c0b12ccfea040626955dbfc796810dc0f,440,342,98,27,18,7,103,40,21.36563492,0
e9eb97fdfe7f9e3e738ff5fbac2f53ddee5c15ad,135,135,0,2,2,1,2,2,21.79071426,0
dd3527ddbf0d1b82565ecd00bc1b2900b065731c,43,41,2,5,4,2,80,24,7.090911865,0
d2a8bc22623a3bc69eefaac465db8c9043f40576,38,19,19,2,5,5,72,17,5.8604846,0
a533aefa8e5483abf74d18f6f5a2046ef58d6705,34,5,29,0,5,2,16,5,4.397670746,0
0353a771cee93cfd0c4994b7140b2b99c7fc58da,23,7,16,0,1,1,1,1,4.330248833,0
7f4915ee6c94b1044155110fe4612147a9e8de91,21,19,2,0,1,1,19,7,4.857363224,1
6a3f439bbbd1868c53dbfc44e91f3fd4b87dfba9,57,39,18,5,4,1,18,10,13.26819897,0
8ed2907343132ebbf7921d7aad63551d78d062c8,37,3,34,3,8,4,47,22,4.192459106,0
856e06c2d12cdf194db4661d9e91bddb7c522e49,112,42,70,5,1,1,19,5,11.2341032,0
d5545fea581937db8dce470fec2f4db51141da55,46,32,14,2,2,1,18,3,9.89857769,0
2e34a141a54115f1a13f25b00ef412adbdee8a38,2,1,1,0,1,1,1,1,3.852752447,0
f553715c3b21d37ddcc1339c70b83a77630b1d12,2,1,1,0,1,1,2,1,3.774124861,0
1c1325c5646f3fd908bf56db0480759a22dcd68c,724,724,0,4,7,3,18,13,21.60795593,1
124c7c631dd6b668b79d8628269aae8a56122b4b,50,30,20,6,1,1,27,7,12.94462109,0
67b69b5e2258da02451be2064e5980647908d709,42,5,37,2,3,2,6,4,4.424333572,0
f030d2258ec74989ddef7fc560399b714cc98a52,128,74,54,3,3,3,18,3,14.64335823,1
1bcf8f40f449555013174c14c097a6532d4e3455,174,87,87,9,7,6,47,16,17.0473671,0
d08e05fd3676f119957638fcd4e98234b4b384d5,45,39,6,2,2,2,6,4,12.92513657,0
b595d4f870422440baef524c5fcafa7337b9b965,34,14,20,0,1,1,1,1,4.59101963,0
c656cf10734f4d6316c28e96090588425de8d981,3,2,1,0,1,1,2,2,3.93433094,0
a1c2d14ab5c14ee3affddc2523f81c40698e92d2,41,34,7,6,2,2,7,5,8.535211563,0
ff7aba97db324990514c2d8e6747a2512bcfc09e,4,2,2,1,1,1,13,3,4.157287121,0
6cb23da5fd379814b52e1c6a595350a4721274f4,6,2,4,1,1,1,2,1,4.225848675,0
59ec4f3ca8a0505290a2d5670583739cc83931a0,19,14,5,1,1,1,7,2,5.151936531,0
df760c544cf0244f06545f962b4ee0f6befeadf0,253,253,0,2,2,1,4,4,16.14430618,0
fb7ee5313e75df4e50e91f3bde01dcf5148d7203,116,50,66,2,1,1,6,1,15.98560524,0
69756463c7b663727f01d8a807af360171f21baa,12,8,4,0,1,1,6,5,4.656651974,0
b5b4b13ad6bafb08c15a8588cd2ad43ec0f515e2,23,10,13,3,1,1,9,5,5.046312332,0
96a3af09fb177ed4bf747dd5d5facab6957f08e8,366,335,31,15,12,6,122,32,24.07426453,0
084a5d9c11c672cc75617aadfeb39be317240625,19,18,1,1,1,1,1,1,5.694712162,0
a9d902193d49c33f6a6dc611514f4b8b26a8b581,46,33,13,0,1,1,1,1,6.816875458,0
67898ffc070c0b13bbcbea78526673b7919d8b22,58,39,19,7,4,1,69,19,12.78970051,0
e71f273814f1a933f284ca41a4a52f1461937bb7,457,285,172,10,10,6,22,10,16.30017281,0
1c5b8b541b8556e5474f14222f541cd2e0b87a52,50,30,20,6,1,1,28,7,12.94462109,0
49c57f38e0f39714b1a208101e61b54d4b82a4c6,389,313,76,6,3,3,11,3,18.45201111,0
e209ede2aaff48a6ad03e8ba95ce7a0814e51531,2,1,1,0,1,1,5,1,3.864554405,0
7e6d03af8091549e049c256c102959fa5fb6d6d0,1529,1528,1,6,7,3,64,13,21.34148026,0
e63b85fdc0514de7916998ef15e4760f2449574f,6,6,0,1,1,1,9,7,4.422967434,0
f6d3c77f32e5ba8c48d2b987dea3915004970eab,52,31,21,0,2,2,28,7,6.25931406,1
459a2b88f5e9544e5ddcc9979914eb0dca14b0d7,144,58,86,1,1,1,4,3,15.09950066,1
b35d330c531a401066b675a8e075cc77c27cbdff,47,35,12,5,6,4,17,9,6.982414722,0
c6e9d3678a48a9bc4e6243c53f987e67df33e442,564,473,91,22,15,4,155,40,21.08936882,1
55ba0e807b6ebd4f89b16ae6c621e226b1452e38,125,108,17,6,5,1,13,5,20.02526474,0
6165a44b419d18ff6809f2bad6ee78453bdca7d3,27,19,8,6,1,1,5,2,6.458358288,1
168588593b071f5351fef63566498be0a931ebdd,276,152,124,12,10,5,69,19,19.98820496,0
10f2bb16994c0c8973205accda4a52500c065916,55,18,37,2,2,2,5,2,6.017266273,0
e58cbcb043ed0c18f9df0f26b2da66c8745e3963,109,109,0,1,1,1,1,1,18.56150436,0
347bb68ee0c20edc72f07e9fedb4a7e393e95aee,6,6,0,1,1,1,10,7,4.422967434,0
726f32ca013bf710180669e23c772a5587c98da8,8,4,4,1,1,1,20,8,3.97679019,0
fdaa648cd50c3f7f1854efd68d78c778643f39f0,140,129,11,8,8,3,62,17,19.19128418,1
e0405c7391899bbd860678177f5abd4229146369,45,30,15,0,1,1,2,1,5.762637138,0
870945125210ec11b13361e483deee5afb892ef7,162,133,29,7,3,1,25,9,22.05546761,0
fc7beb02c3399f58f00b8d3f9f4a6ce5645338e3,81,64,17,0,3,2,3,3,13.8885994,1
ddfb3e453d04467e4f04286c72befc4d0ffb3f1a,56,36,20,7,4,2,32,8,11.13136959,0
b33f054d1c9bab120601638f72b4c6f708690ac7,4,2,2,0,1,1,3,1,4.014312744,0
ef278645dc3e7883f0d5e4f533890b5365dcf4b1,376,368,8,2,3,1,16,4,21.35909653,0
848e9bf3e4acdd7adcb6c5cda18673eec1f0dec7,32,18,14,5,2,2,21,4,7.635781288,0
13f1935caf9cdd8c5c6f44872d4dfeaa86e0cb04,65,39,26,5,1,1,3,1,11.46510506,0
03cf7b75f2da4028783f4c2d1183d6d6a03a2928,60,60,0,1,1,1,1,1,15.78531361,0
ed24355f06e24bce52248e4573b4f0d0bf698f29,3,2,1,0,1,1,1,1,3.998027325,0
2a78ef8d1ecb8481fd4fdea59439525951c1956c,70,44,26,7,8,6,47,23,12.50698757,0
aa65883b159c9a3ca6f2130d45bfa7249ba3c744,4,2,2,0,1,1,8,3,4.552259445,0
0648dc311be962c13b4ffbd8b933432897debd32,91,51,40,17,9,7,13,9,11.00195313,0
461e7a4f0c126b76b634ca3e1e3eb20fab38051a,4,2,2,1,1,1,40,6,3.774124861,0
59b38995d2586c4248be05727c76b0f77b80a421,2925,2774,151,40,45,11,370,95,26.54137421,0
