Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
3f8dc0303641c12cd10f836402218aa391b7c236,6,2,4,2,2,1,2,2,6.494142056,0
b09a6fb7785a9c02675847577c3cc37a2a9cb84c,58,13,45,2,1,1,1,1,6.790465832,0
5db45496f9692b5e729e96164e6f6b944767ecc3,4,1,3,0,2,2,3,2,6.456274033,0
a8785abb7aeeeecee0b6d43edb5be484b70560fb,10,9,1,2,1,1,1,1,6.969388008,0
7c70951d6a06d79d11a7d52e96d8a0febaca6a59,4,2,2,1,1,1,4,1,6.658425331,0
ee347328e430b966c27fc1c65723091e69b6acb4,16,11,5,0,1,1,2,1,8.926112175,1
248b39c73e0c7809c42a9accd35f354869f11666,1096,636,460,51,19,14,31,19,23.09153748,0
de1de4c4f243f182fe548bae45c8615026ae7e76,1596,691,905,94,34,3,63,34,24.7727356,0
af452e119631055c5e9a1d5bdc136af46f5bede0,43,29,14,5,1,1,3,1,10.04715538,0
15d3c0d7b43071e9e3ef59cf7f980a119d87669e,1379,702,677,0,1,1,1,1,21.07719231,0
6ea7ff2503c0a536c6f35d6806b114688d7d4063,137,70,67,0,1,1,2,1,13.97654057,0
4541deedda2c6fe853d3361130fb4e3880db8deb,4,3,1,0,1,1,1,1,6.552159309,0
f1f6bf037a4774c4f076a1b479dba2252b04426a,68,22,46,4,2,1,4,2,7.41205883,0
f9e0b9d3400b2dd06dabeb0ca8f3fe5b52c8b49c,1251,683,568,109,95,18,98,95,24.53580475,1
193fa4c56e8a44c9672a043d5e9e56c1d6cc99c2,29,15,14,4,5,2,8,5,7.466130733,0
79f0ab8c9841367e546251ac606f7335bed92529,61,36,25,6,1,1,2,1,11.74502087,0
a967991ae7641ba89caf4e4c7d81fe89e9e78c1e,2,1,1,0,1,1,1,1,6.381969452,0
2f5a2492e49a64da73e29bc5ba0a8bf151b49bdb,246,149,97,22,29,4,52,29,18.66708183,0
716e5fe1994bb0be1ae7daf00ee09f9e0e11ca76,609,171,438,100,25,1,25,25,19.05144501,0
9c77acdf9f3d47accec70a6e91cabf6ad304a00c,150,75,75,43,15,6,24,15,15.97966003,0
9c3336041f310ebd965d11d172ca50d0bd0b75ff,8,4,4,2,1,1,3,1,6.854101181,0
36dcab91efca10a8ff9dbe3da8517ba62d0a183c,4,2,2,1,1,1,5,1,6.658425331,0
78470bcf03bf65592bdcfd5e6e1b56c827236c19,36,18,18,3,3,3,4,3,7.693864346,0
2a8bed4efd34bccb11e0f97192a3e273355ad5fa,465,146,319,48,23,1,71,23,19.62144089,0
74e4985301ed7444f649f2e55cd2391a59acae99,3,1,2,0,1,1,5,1,6.336023331,0
