@relation Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
3,1,2,0,2,2,7,5,4.332159,0
5,3,2,0,1,1,5,3,4.483006,0
24,13,11,6,2,2,3,2,5.533674,0
43,21,22,1,1,1,1,1,7.315687,0
9,9,0,2,1,1,2,1,5.114558,0
88,55,33,6,4,4,9,6,13.81258,0
16,16,0,0,1,1,2,1,8.169702,0
154,150,4,5,5,4,5,5,22.427679,0
5231,2591,2640,2,47,4,51,50,27.526731,0
108,67,41,0,5,5,10,6,16.124912,0
14,8,6,2,1,1,6,2,5.240345,0
2,1,1,0,1,1,1,1,4.4462,0
10,6,4,0,1,1,2,1,4.589508,0
65,25,40,5,6,5,21,9,9.79423,0
786,633,153,28,35,17,78,47,26.174549,0
25,13,12,0,1,1,4,2,5.761466,0
609,438,171,14,8,6,11,10,22.433916,0
3,1,2,0,1,1,3,3,4.501368,0
31,22,9,3,6,4,6,6,6.79523,1
288,285,3,9,7,5,9,9,23.730616,0
26,21,5,2,2,1,6,5,7.086568,0
13,10,3,2,1,1,2,1,5.845281,0
12,8,4,2,1,1,5,1,5.085658,0
655,653,2,11,10,7,10,10,24.417719,0
4,1,3,1,2,1,6,4,4.27843,0
6,3,3,0,1,1,5,3,4.6188,0
5,3,2,0,1,1,4,3,4.483006,0
13,11,2,0,3,2,13,9,5.682142,0
88,78,10,3,3,3,6,3,12.033037,0
77,45,32,1,2,2,6,2,11.887115,0
35,20,15,7,2,1,10,4,6.434659,0
24,13,11,3,1,1,1,1,5.918351,0
2,1,1,0,1,1,4,2,4.000167,1
194,136,58,18,25,8,62,47,22.221708,0
270,260,10,11,8,7,15,10,23.743349,0
2,1,1,0,1,1,1,1,4.332159,0
7,4,3,0,1,1,1,1,4.860935,0
821,811,10,21,19,9,27,21,24.274057,0
582,473,109,34,22,15,26,24,24.833818,0
1386,1356,30,23,32,17,39,37,24.53845,0
26,17,9,3,3,3,3,3,6.186085,0
1605,1471,134,51,48,28,120,110,25.958883,0
49,30,19,5,2,2,2,2,8.591554,0
28,9,19,6,3,3,10,5,4.894582,0
205,103,102,1,3,3,3,3,17.792034,0
5,4,1,3,2,2,10,6,4.535516,0
3,2,1,0,1,1,1,1,4.541089,0
666,327,339,0,11,1,11,11,22.799385,0
33,2,31,0,2,1,6,4,4.392743,0
11,9,2,1,1,1,3,2,4.93787,0
350,325,25,5,6,3,9,8,22.395624,0
2,1,1,0,1,1,1,1,4.308879,0
6,3,3,1,1,1,3,3,4.532393,0
439,370,69,15,10,5,24,18,23.221741,0
64,42,22,12,10,7,10,10,10.543826,0
32,20,12,1,1,1,3,2,7.804514,0
2,1,1,0,1,1,2,1,4.27843,0
12,7,5,2,3,2,3,3,5.319813,0
11,7,4,3,2,2,2,2,5.573736,0
11,4,7,2,1,1,1,1,4.711608,0
8,8,0,0,2,2,8,4,5.32021,0
8,8,0,0,2,2,4,3,5.438819,0
1467,1394,73,46,39,16,64,61,26.872416,1
219,168,51,22,12,6,19,18,23.866222,0
8,8,0,0,2,2,6,4,5.438819,0
86,86,0,1,1,1,1,1,20.819128,0
923,731,192,33,27,16,66,43,27.647169,1
481,361,120,15,15,8,24,16,24.485159,0
38,8,30,0,1,1,1,1,5.070881,0
2,1,1,0,1,1,3,3,4.308879,0
10,10,0,0,1,1,1,1,5.07017,0
444,372,72,20,22,15,66,37,26.02084,0
89,52,37,4,2,2,2,2,14.15203,0
4,2,2,1,1,1,2,2,4.662331,0
2,2,0,0,2,2,12,8,4.225994,0
38,24,14,0,10,6,29,22,7.514629,0
10,6,4,0,1,1,1,1,4.589508,0
145,107,38,6,4,4,8,4,21.703085,0
2,1,1,0,1,1,3,1,4.308879,0
11,5,6,4,1,1,2,2,4.578713,0
21,18,3,3,1,1,2,2,5.659567,0
21,10,11,5,3,3,4,4,5.475785,0
1,1,0,0,1,1,3,2,4.390118,0
2,1,1,0,1,1,2,2,4.138901,0
73,36,37,3,2,2,6,4,6.482698,0
6,3,3,0,1,1,4,3,4.6188,0
1388,1364,24,41,42,26,48,46,23.954304,1
203,113,90,10,6,5,9,9,21.595875,0
25,14,11,1,3,3,12,6,5.801174,0
5,3,2,2,1,1,3,2,4.665932,0
108,108,0,2,2,2,2,2,23.292892,0
4,2,2,0,2,1,4,4,4.338734,0
1233,1210,23,18,27,13,28,28,25.959681,0
2,1,1,0,1,1,3,2,4.300802,0
491,490,1,9,9,7,12,12,22.959129,0
235,118,117,19,13,5,20,16,21.563581,0
11411,5724,5687,42,100,8,110,110,30.405712,0
78,53,25,5,3,3,9,5,12.394465,0
127,58,69,5,6,4,17,9,13.179483,0
151,144,7,3,4,3,5,4,18.7076,0
28,21,7,4,1,1,2,2,7.536188,0
13,11,2,0,3,2,10,6,5.682142,0
13,9,4,3,4,3,10,6,5.580402,0
339,319,20,10,6,4,10,9,24.99181,0
103,103,0,4,4,3,4,4,21.880247,0
53,34,19,5,3,3,3,3,6.440786,0
168,148,20,9,8,5,10,9,25.410126,0
1007,476,531,0,115,34,125,116,18.634346,0
5,5,0,1,1,1,4,2,4.702159,0
32,20,12,1,1,1,2,2,7.804514,0
